Customer ID,Age,Gender,Income,Product Category,Spending,Region
1,61,Female,114940,Home Goods,2484.4,North America
2,21,Female,56487,Groceries,1334.28,Europe
3,21,Female,97556,Home Goods,3647.36,North America
4,67,Female,130971,Electronics,2882.3,South America
5,73,Male,125964,Groceries,2651.44,Europe
6,27,Male,81114,Groceries,3326.88,South America
7,35,Male,71817,Groceries,4121.58,Europe
8,71,Male,84165,Home Goods,3724.37,Europe
9,32,Female,34997,Home Goods,524.86,Asia
10,27,Female,127168,Electronics,2857.54,Europe
11,21,Male,78919,Home Goods,1751.35,North America
12,47,Female,64902,Groceries,130.46,South America
13,67,Male,104233,Groceries,4163.52,Asia
14,24,Female,99926,Groceries,206.02,South America
15,65,Female,146927,Fashion,1478.31,Africa
16,20,Male,35900,Home Goods,3378.95,South America
17,53,Female,84275,Home Goods,114.36,South America
18,38,Male,34395,Electronics,2297.24,Asia
19,28,Female,113158,Groceries,387.6,North America
20,45,Female,77699,Fashion,1911.69,Asia
21,53,Female,143869,Groceries,4285.96,North America
22,60,Female,146993,Electronics,1199.9,South America
23,43,Female,43149,Electronics,2339.98,Asia
24,43,Male,73973,Home Goods,3013.05,Europe
25,78,Female,32719,Fashion,1447.76,Europe
26,41,Male,63796,Electronics,3260.49,Europe
27,18,Female,77672,Groceries,2372.48,North America
28,59,Female,42926,Groceries,735.19,North America
29,71,Male,77339,Home Goods,2408.77,North America
30,78,Female,81379,Groceries,1449.15,North America
31,21,Male,29268,Home Goods,1713.41,South America
32,45,Female,73606,Groceries,2911.77,Asia
33,57,Female,50385,Fashion,2897.21,South America
34,43,Male,26196,Electronics,3596.71,North America
35,35,Male,39234,Home Goods,2493.87,Africa
36,64,Female,89455,Home Goods,4775.44,Asia
37,25,Male,31431,Groceries,647.4,Asia
38,20,Female,120945,Fashion,248.68,Europe
39,62,Female,80119,Fashion,405.11,Europe
40,45,Male,37642,Electronics,3873.16,South America
41,34,Female,133284,Fashion,2462.58,Asia
42,51,Male,79881,Fashion,2000.86,Asia
43,25,Female,138100,Electronics,4920.18,North America
44,53,Male,111176,Electronics,3460.07,Asia
45,31,Male,94375,Fashion,4024.77,Asia
46,52,Female,119371,Groceries,2239.02,Africa
47,60,Female,71205,Electronics,2757.82,Asia
48,65,Female,145231,Home Goods,1372.55,South America
49,70,Male,114425,Home Goods,4037.95,North America
50,67,Female,105947,Electronics,1246.11,Asia
51,41,Male,129520,Home Goods,3121.09,Africa
52,30,Female,142635,Home Goods,2458.3,Europe
53,68,Male,59597,Groceries,3819.49,Africa
54,22,Male,39263,Home Goods,3154.98,Africa
55,29,Female,75156,Groceries,2573.96,Asia
56,45,Male,114256,Fashion,3449.36,Africa
57,72,Male,76745,Electronics,4047.34,Europe
58,56,Male,30166,Electronics,2492.99,Asia
59,49,Female,112616,Groceries,3001.19,Asia
60,58,Male,59860,Electronics,773.06,Asia
